total leaf samples: 4736
   samples    self%  frame
         6    0.13%  core::hash::sip::u8to64_le
         6    0.13%  logthing::ipfix::decoder::decode_ipfix
         5    0.11%  <std::thread::local::LocalKey<tokio::runtime::context::Context>>::with::<tokio::runtime::context::thread_rng_n::{closure#0}, u32>
         5    0.11%  <alloc::sync::Arc<dyn arrow_array::array::Array>>::drop_slow
         5    0.11%  <arrow_array::array::primitive_array::PrimitiveArray<arrow_array::types::UInt32Type>>::is_compatible
         5    0.11%  <mio::sys::unix::selector::Selector>::select
         5    0.11%  <alloc::sync::Arc<dyn arrow_array::array::Array> as core::ops::deref::Deref>::deref
         5    0.11%  <tokio::net::udp::UdpSocket>::recv_from::{closure#0}::{closure#0}
         5    0.11%  <arrow_data::data::ArrayDataBuilder>::new
         5    0.11%  <[u8] as core::cmp::PartialEq>::eq
         5    0.11%  <tokio::runtime::task::harness::Harness<logthing::async_main::{closure#0}::{closure#8}, alloc::sync::Arc<tokio::runtime::scheduler::multi_thread::handle::Handle>>>::poll_inner
         5    0.11%  <[u8] as ahash::convert::ReadFromSlice>::read_u32
         5    0.11%  logthing::ipfix::decoder::decode_datagram
         5    0.11%  <logthing::forwarding::ipfix_s3::FlowRecordBuilders>::new
         5    0.11%  <arrow_array::builder::generic_bytes_builder::GenericByteBuilder<arrow_array::types::GenericStringType<i32>>>::finish
         5    0.11%  <logthing::forwarding::buffered_writer::PartitionedParquetWriter<logthing::forwarding::ipfix_s3::IpfixSink>>::push::{closure#0}::{closure#4}
         5    0.11%  <core::alloc::layout::Layout>::size
         5    0.11%  <alloc::alloc::Global>::alloc_impl_runtime
         5    0.11%  <metrics_util::registry::Registry<metrics::key::Key, metrics_util::registry::recency::GenerationalStorage<metrics_exporter_prometheus::registry::AtomicStorage>>>::get_hash_and_shard_for_counter
         5    0.11%  core::ptr::drop_glue::<arrow_data::data::ArrayData>
         5    0.11%  <core::ptr::non_null::NonNull<tokio::sync::mpsc::block::Block<alloc::vec::Vec<logthing::ipfix::FlowRecord>>>>::as_ref
         4    0.08%  core::ptr::write::<alloc::boxed::Box<dyn for<'a, 'b> core::ops::function::Fn<(&'a mut arrow_data::transform::_MutableArrayData<'b>, usize, usize), Output = ()>>>
         4    0.08%  <tokio::task::coop::Coop<tokio::sync::watch::changed_impl<bool>::{closure#0}> as core::future::future::Future>::poll
         4    0.08%  core::sync::atomic::atomic_compare_exchange::<usize>
         4    0.08%  <tokio::runtime::task::harness::Harness<logthing::async_main::{closure#0}::{closure#8}, alloc::sync::Arc<tokio::runtime::scheduler::multi_thread::handle::Handle>>>::poll
         4    0.08%  <tokio::runtime::time::handle::Handle>::process_at_time
         4    0.08%  <alloc::raw_vec::RawVecInner<_>>::reserve::do_reserve_and_handle::<alloc::alloc::Global>
         4    0.08%  <arrow_buffer::buffer::scalar::ScalarBuffer<i32>>::new
         4    0.08%  <tokio::runtime::task::state::Snapshot>::ref_inc
         4    0.08%  <chrono::naive::date::NaiveDate>::from_num_days_from_ce_opt
         4    0.08%  <arrow_array::record_batch::RecordBatch>::try_new_impl
         4    0.08%  <alloc::collections::btree::map::IntoIter<alloc::string::String, serde_json::value::Value>>::dying_next
         4    0.08%  core::sync::atomic::atomic_compare_exchange_weak::<u8>
         4    0.08%  <arrow_array::builder::primitive_builder::PrimitiveBuilder<arrow_array::types::UInt32Type>>::finish
         4    0.08%  <u8 as core::fmt::Display>::fmt
         4    0.08%  <tokio::runtime::scheduler::multi_thread::stats::Stats>::end_processing_scheduled_tasks
         4    0.08%  <tokio::util::linked_list::LinkedList<tokio::sync::notify::Waiter, tokio::sync::notify::Waiter>>::push_front
         4    0.08%  arrow_data::transform::utils::extend_offsets::<i32>::{closure#0}
         4    0.08%  <ahash::fallback_hash::AHasher>::large_update
         4    0.08%  <alloc::sync::Arc<dyn arrow_array::array::Array> as <[_]>::to_vec_in::ConvertVec>::to_vec::<alloc::alloc::Global>
         4    0.08%  <std::hash::random::RandomState as core::hash::BuildHasher>::hash_one::<&(core::net::ip_addr::IpAddr, u32, u16)>
         4    0.08%  core::ptr::drop_glue::<alloc::collections::btree::map::IntoIter<alloc::string::String, serde_json::value::Value>>
         4    0.08%  <logthing::ipfix::listener::IpfixListener>::start_with_shutdown::{closure#0}::{closure#8}
         4    0.08%  <alloc::vec::Vec<arrow_data::data::ArrayData>>::push_mut
         4    0.08%  <alloc::raw_vec::RawVecInner>::finish_grow
         4    0.08%  <core::ops::range::Range<usize> as core::slice::index::SliceIndex<[u8]>>::index
         4    0.08%  <core::pin::Pin<alloc::boxed::Box<dyn core::future::future::Future<Output = ()> + core::marker::Send>> as core::future::future::Future>::poll
         4    0.08%  <std::net::udp::UdpSocket>::recv_from
         4    0.08%  <tokio::runtime::time::wheel::Wheel>::next_expiration
         4    0.08%  arrow_buffer::util::bit_util::round_upto_multiple_of_64
         3    0.06%  <tokio::runtime::time::Driver>::park_internal
         3    0.06%  <arrow_buffer::util::bit_chunk_iterator::UnalignedBitChunk>::new
         3    0.06%  <arrow_data::data::ArrayDataBuilder>::len
         3    0.06%  <arrow_array::array::primitive_array::PrimitiveArray<arrow_array::types::TimestampMicrosecondType>>::value_unchecked
         3    0.06%  <arrow_buffer::builder::null::NullBufferBuilder>::finish
         3    0.06%  core::ptr::metadata::from_raw_parts_mut::<core::ffi::c_void, ()>
         3    0.06%  <core::cell::BorrowRefMut>::new
         3    0.06%  <std::sys::net::connection::socket::unix::Socket>::recv_from_with_flags
         3    0.06%  <tokio::runtime::time::wheel::Wheel>::poll
         3    0.06%  std::sys::io::error::unix::decode_error_kind
         3    0.06%  <tokio::runtime::io::scheduled_io::Readiness as core::future::future::Future>::poll
         3    0.06%  <arrow_array::builder::primitive_builder::PrimitiveBuilder<arrow_array::types::UInt8Type>>::finish
         3    0.06%  <core::ptr::non_null::NonNull<alloc::sync::ArcInner<core::sync::atomic::Atomic<u64>>>>::as_ref
         3    0.06%  <tokio::runtime::io::scheduled_io::ScheduledIo>::readiness::{closure#0}
         3    0.06%  <core::ptr::non_null::NonNull<alloc::sync::ArcInner<arrow_schema::schema::Schema>>>::as_ref
         3    0.06%  <std::backtrace_rs::symbolize::gimli::stash::Stash>::allocate
         3    0.06%  <alloc::collections::btree::node::NodeRef<alloc::collections::btree::node::marker::Dying, alloc::string::String, serde_json::value::Value, alloc::collections::btree::node::marker::LeafOrInternal>>::first_leaf_edge
         3    0.06%  <logthing::forwarding::buffered_writer::LiveInterval>::changed::{closure#0}
         3    0.06%  arrow_data::transform::build_extend_null_bits::{closure#0}
         3    0.06%  core::ptr::drop_glue::<arrow_array::builder::primitive_builder::PrimitiveBuilder<arrow_array::types::UInt32Type>>
         3    0.06%  <tokio::sync::notify::Notified as core::future::future::Future>::poll
         3    0.06%  <tokio::sync::watch::Receiver<bool>>::changed::{closure#0}
         3    0.06%  core::sync::atomic::atomic_add::<u64, u64>
         3    0.06%  core::mem::size_of_val_raw::<alloc::sync::ArcInner<dyn arrow_array::array::Array>>
         3    0.06%  __errno_location
         3    0.06%  <chrono::naive::date::NaiveDate>::add_days
         3    0.06%  <alloc::sync::Arc<dyn metrics::handles::CounterFn + core::marker::Send + core::marker::Sync> as core::ops::deref::Deref>::deref
         3    0.06%  core::ptr::copy_nonoverlapping::<logthing::ipfix::FlowRecord>
         3    0.06%  <arrow_buffer::builder::null::NullBufferBuilder>::materialize
         3    0.06%  <tokio::sync::mpsc::block::Block<alloc::vec::Vec<logthing::ipfix::FlowRecord>>>::is_at_index
         3    0.06%  <core::option::Option<arrow_buffer::buffer::null::NullBuffer>>::as_ref
         3    0.06%  <arrow_array::builder::primitive_builder::PrimitiveBuilder<arrow_array::types::UInt32Type>>::with_capacity
