total leaf samples: 4736
   samples    self%  frame
         1    0.02%  <alloc::sync::Arc<dyn metrics::handles::CounterFn + core::marker::Send + core::marker::Sync> as core::ops::drop::Drop>::drop
         1    0.02%  core::ptr::drop_glue::<metrics_util::registry::recency::Generational<alloc::sync::Arc<core::sync::atomic::Atomic<u64>>>>
         1    0.02%  <std::sys::time::unix::Instant>::now
         1    0.02%  <arrow_array::record_batch::RecordBatch>::try_new
         1    0.02%  core::slice::index::get_offset_len_noubcheck::<u8>
         1    0.02%  <alloc::sync::Arc<dyn arrow_array::array::Array> as core::ops::drop::Drop>::drop
         1    0.02%  tokio::runtime::context::with_scheduler::<(), tokio::runtime::scheduler::multi_thread::worker::with_current<(), <tokio::runtime::scheduler::multi_thread::handle::Handle>::schedule_task::{closure#0}>::{closure#0}>
         1    0.02%  <arrow_buffer::buffer::scalar::ScalarBuffer<f64> as core::convert::From<arrow_buffer::buffer::immutable::Buffer>>::from
         1    0.02%  arrow_buffer::util::bit_chunk_iterator::compute_suffix_mask
         1    0.02%  <arrow_array::builder::generic_bytes_builder::GenericByteBuilder<arrow_array::types::GenericStringType<i32>>>::append_value::<alloc::string::String>
         1    0.02%  ZSTD_CCtx_init_compressStream2
         1    0.02%  <arrow_array::array::primitive_array::PrimitiveArray<arrow_array::types::TimestampMicrosecondType>>::is_compatible
         1    0.02%  ZSTD_cpuid
         1    0.02%  <tokio::sync::mpsc::list::Tx<alloc::vec::Vec<logthing::ipfix::FlowRecord>>>::push
         1    0.02%  <arrow_buffer::buffer::null::NullBuffer>::new
         1    0.02%  <i32>::div_euclid
         1    0.02%  <tokio::runtime::task::harness::Harness<tokio::runtime::blocking::task::BlockingTask<tokio::fs::write::write_spawn_blocking::{closure#0}::{closure#0}>, tokio::runtime::blocking::schedule::BlockingSchedule>>::shutdown
         1    0.02%  <arrow_buffer::buffer::boolean::BooleanBuffer as core::clone::Clone>::clone
         1    0.02%  <u128>::wrapping_mul
         1    0.02%  <u64>::wrapping_add
         1    0.02%  <core::future::poll_fn::PollFn<<tokio::time::interval::Interval>::tick::{closure#0}::{closure#0}> as core::future::future::Future>::poll
         1    0.02%  parquet::column::writer::encoder::get_min_max::<i32, core::slice::iter::Iter<i32>>
         1    0.02%  <alloc::vec::Vec<metrics::label::Label> as core::ops::drop::Drop>::drop
         1    0.02%  <core::option::Option<alloc::boxed::Box<dyn logthing::forwarding::buffered_writer::RecordBatchAccumulator<logthing::ingest::GenericRecord>>>>::as_mut
         1    0.02%  __rustc::__rdl_realloc
         1    0.02%  <std::sys::time::unix::SystemTime>::now
         1    0.02%  <tokio::runtime::time::wheel::level::Level>::next_expiration
         1    0.02%  <tokio::sync::notify::NotifiedProject>::drop_notified
         1    0.02%  <arrow_buffer::buffer::scalar::ScalarBuffer<u16>>::new
         1    0.02%  <arrow_array::array::primitive_array::PrimitiveArray<arrow_array::types::UInt16Type>>::is_compatible
         1    0.02%  <parquet::file::metadata::LevelHistogram>::update_from_levels
         1    0.02%  <arrow_array::builder::primitive_builder::PrimitiveBuilder<arrow_array::types::TimestampMicrosecondType>>::finish
         1    0.02%  <core::hash::sip::Hasher<core::hash::sip::Sip13Rounds> as core::hash::Hasher>::write_str
         1    0.02%  core::ptr::drop_glue::<arrow_buffer::buffer::mutable::MutableBuffer>
         1    0.02%  <arrow_data::transform::MutableArrayData>::with_capacities::{closure#19}
         1    0.02%  core::mem::replace::<core::option::Option<tokio::runtime::scheduler::multi_thread::worker::with_current<(), <tokio::runtime::scheduler::multi_thread::handle::Handle>::schedule_task::{closure#0}>::{closure#0}>>
         1    0.02%  <alloc::raw_vec::RawVecInner>::reserve
         1    0.02%  <parquet::schema::types::BasicTypeInfo>::converted_type
         1    0.02%  <tokio::util::wake_list::WakeList>::push
         1    0.02%  tokio::task::coop::poll_budget_available
         1    0.02%  <tokio::time::instant::Instant>::saturating_duration_since
         1    0.02%  <parquet::encodings::rle::RleEncoder>::put
         1    0.02%  <logthing::forwarding::buffered_writer::ParquetWriterHandle<logthing::forwarding::ipfix_s3::IpfixSink>>::start_with_stats::{closure#0}
         1    0.02%  <arrow_array::builder::primitive_builder::PrimitiveBuilder<arrow_array::types::TimestampMicrosecondType>>::with_data_type
         1    0.02%  HUF_compress_internal
         1    0.02%  ZSTD_entropyCompressSeqStore_internal
         1    0.02%  <tokio::runtime::task::core::Header>::get_scheduler::<alloc::sync::Arc<tokio::runtime::scheduler::multi_thread::handle::Handle>>
         1    0.02%  <[u8]>::align_to::<u64>
         1    0.02%  ZSTD_storeSeq
         1    0.02%  <tokio::task::coop::Budget>::decrement
         1    0.02%  <std::path::Path>::join::<alloc::string::String>
         1    0.02%  <logthing::forwarding::buffered_writer::PartitionedParquetWriter<logthing::forwarding::generic_s3::GenericSink>>::drop_oldest_to_cap
         1    0.02%  <alloc::vec::Vec<parquet::arrow::arrow_writer::ArrowColumnWriter>>::push_mut
         1    0.02%  __floattidf
         1    0.02%  <tokio::sync::notify::Notify>::notified
         1    0.02%  <core::ptr::non_null::NonNull<alloc::sync::ArcInner<tokio::runtime::io::scheduled_io::ScheduledIo>>>::as_ref
         1    0.02%  core::sync::atomic::atomic_load::<*mut core::io::error::OsFunctions>
         1    0.02%  core::sync::atomic::atomic_swap::<usize>
         1    0.02%  <[metrics::label::Label] as core::cmp::PartialEq>::eq
         1    0.02%  <std::alloc::System as core::alloc::global::GlobalAlloc>::realloc
         1    0.02%  ahash::operations::read_small
         1    0.02%  core::ptr::write_bytes::<hashbrown::control::tag::Tag>
         1    0.02%  <arrow_buffer::buffer::scalar::ScalarBuffer<u16> as core::convert::From<arrow_buffer::buffer::immutable::Buffer>>::from
         1    0.02%  <arrow_array::array::primitive_array::PrimitiveArray<arrow_array::types::UInt64Type> as core::convert::From<arrow_data::data::ArrayData>>::from
         1    0.02%  <hashbrown::raw::RawTableInner>::find_inner
         1    0.02%  core::sync::atomic::atomic_load::<u64>
         1    0.02%  logthing::forwarding::drop_log::process_nanos
         1    0.02%  <[core::mem::maybe_uninit::MaybeUninit<u8>]>::fill_with::<<[core::mem::maybe_uninit::MaybeUninit<u8>] as core::mem::maybe_uninit::SpecFill<u8>>::spec_fill::{closure#0}>
         1    0.02%  <core::net::ip_addr::IpAddr as core::fmt::Display>::fmt
         1    0.02%  <parquet::file::writer::SerializedRowGroupWriter<&mut alloc::vec::Vec<u8>>>::close
         1    0.02%  <arrow_buffer::buffer::boolean::BooleanBuffer>::new
         1    0.02%  <core::option::Option<core::time::Duration>>::unwrap_or_default
         1    0.02%  core::sync::atomic::atomic_compare_exchange_weak::<u32>
         1    0.02%  <alloc::raw_vec::RawVecInner>::non_null::<u8>
         1    0.02%  alloc::alloc::realloc_nonnull
         1    0.02%  <arrow_buffer::buffer::immutable::Buffer>::count_set_bits_offset
         1    0.02%  arrow_data::transform::variable_size::build_extend::<i32>::{closure#0}
