# format=sflow shape=real duration=15s runs=3 transport=udp port=6343
# server restarted between every run; sflow_datagrams_received/sflow_socket_drops/parquet_s3_dropped are per-run values (fresh process), not deltas.
# RcvbufErrors is host-wide and NOT reset by restart -- diffed before/after around each run's load.
run	format	shape	offered	achieved	received	kernel_drops	writer_drops	buffer_drops	written	kernel_loss_pct	total_loss_pct	gen_cores	srv_cores	verdict
# rate=45000 median_loss=1.2361% median_achieved=44996.2000
# --- rate=42500 ---
1	sflow	real	637467	42496.4000	636675	792	0	0	1200000	0.1242	0.1242	-0.00	1.31	FAIL-LOSS
2	sflow	real	637457	42496.3000	635028	2429	0	0	1200000	0.3810	0.3810	-0.00	1.33	FAIL-LOSS
3	sflow	real	637479	42497.3000	635130	2349	0	0	1200000	0.3685	0.3685	-0.00	1.40	FAIL-LOSS
# --- summary: format=sflow shape=real rate=42500 runs=3 ---
median	sflow	real	-	-	-	-	-	-	-	-	0.3685	-	-	-
min	sflow	real	-	-	-	-	-	-	-	-	0.1242	-	-	-
max	sflow	real	-	-	-	-	-	-	-	-	0.3810	-	-	-
# rate=42500 median_loss=0.3685% median_achieved=42496.4000
# --- rate=41250 ---
1	sflow	real	618716	41246.2000	618716	0	0	0	1200000	0.0000	0.0000	-0.00	1.14	PASS
2	sflow	real	618706	41245.8000	618038	668	0	0	1200000	0.1080	0.1080	-0.00	1.11	FAIL-LOSS
3	sflow	real	618728	41246.3000	617145	1583	0	0	1200000	0.2558	0.2558	-0.00	1.18	FAIL-LOSS
# --- summary: format=sflow shape=real rate=41250 runs=3 ---
median	sflow	real	-	-	-	-	-	-	-	-	0.1080	-	-	-
min	sflow	real	-	-	-	-	-	-	-	-	0.0000	-	-	-
max	sflow	real	-	-	-	-	-	-	-	-	0.2558	-	-	-
# rate=41250 median_loss=0.1080% median_achieved=41246.2000
CEILING 40000
artifacts (server logs): /tmp/tmp.o1nIiBtCgu (removed on exit; rerun with TMP_ROOT preserved manually if needed for debugging)
