total leaf samples: 1250
   samples    self%  frame
         2    0.16%  tokio::runtime::context::with_scheduler::<(), tokio::runtime::scheduler::multi_thread::worker::with_current<(), <tokio::runtime::scheduler::multi_thread::handle::Handle>::schedule_task::{closure#0}>::{closure#0}>
         2    0.16%  <tokio::sync::notify::Notified as core::future::future::Future>::poll
         2    0.16%  <core::pin::Pin<alloc::boxed::Box<dyn core::future::future::Future<Output = ()> + core::marker::Send>> as core::future::future::Future>::poll
         2    0.16%  <tokio::runtime::task::core::Core<logthing::async_main::{closure#0}::{closure#8}, alloc::sync::Arc<tokio::runtime::scheduler::current_thread::Handle>>>::poll::{closure#0}
         2    0.16%  <tokio::runtime::task::state::State>::transition_to_idle
         2    0.16%  <usize>::overflowing_mul
         2    0.16%  <alloc::raw_vec::RawVecInner>::grow_amortized
         2    0.16%  <tokio::runtime::task::raw::RawTask>::poll
         2    0.16%  <tokio::io::ready::Ready>::from_usize
         2    0.16%  <tokio::runtime::io::driver::Driver>::turn
         2    0.16%  <core::hash::sip::Hasher<core::hash::sip::Sip13Rounds>>::reset
         2    0.16%  <alloc::raw_vec::RawVec<logthing::ipfix::FlowRecord>>::grow_one
         2    0.16%  <alloc::alloc::Global>::deallocate_impl_runtime
         2    0.16%  core::sync::atomic::atomic_compare_exchange::<usize>
         2    0.16%  core::ptr::drop_glue::<<logthing::ipfix::listener::DefaultIpfixHandler as logthing::ipfix::listener::IpfixHandler>::handle_flows::{closure#0}>
         2    0.16%  core::intrinsics::unlikely
         2    0.16%  <tokio::sync::notify::Notified as core::ops::drop::Drop>::drop
         2    0.16%  <alloc::collections::btree::map::IntoIter<alloc::string::String, serde_json::value::Value>>::dying_next
         2    0.16%  tokio::runtime::context::CONTEXT::{K#0}::{closure#0}
         2    0.16%  core::ptr::drop_glue::<tokio::sync::notify::Notified>
         2    0.16%  <tokio::task::coop::RestoreOnPending as core::ops::drop::Drop>::drop
         2    0.16%  tokio::sync::watch::maybe_changed::<bool>
         2    0.16%  core::sync::atomic::atomic_load::<*mut core::io::error::OsFunctions>
         2    0.16%  <logthing::ipfix::listener::DefaultIpfixHandler as logthing::ipfix::listener::IpfixHandler>::handle_flows
         1    0.08%  <tokio::runtime::io::driver::Driver>::consume_signal_ready
         1    0.08%  <logthing::ipfix::listener::IpfixListener>::start_with_shutdown::{closure#0}
         1    0.08%  <alloc::collections::btree::map::IntoIter<alloc::string::String, serde_json::value::Value> as core::ops::drop::Drop>::drop
         1    0.08%  <tokio::runtime::scheduler::multi_thread::worker::Context>::park_internal
         1    0.08%  <std::alloc::System as core::alloc::global::GlobalAlloc>::alloc
         1    0.08%  <tokio::runtime::signal::Driver>::process
         1    0.08%  core::ptr::drop_glue::<alloc::collections::btree::map::IntoIter<alloc::string::String, serde_json::value::Value>>
         1    0.08%  <tokio::runtime::runtime::Runtime as core::ops::drop::Drop>::drop
         1    0.08%  core::ptr::drop_glue::<tokio::task::coop::RestoreOnPending>
         1    0.08%  <std::sys::net::connection::socket::unix::Socket>::recv_from_with_flags
         1    0.08%  <tokio::runtime::time::handle::Handle>::clear_entry
         1    0.08%  <std::hash::random::RandomState as core::hash::BuildHasher>::hash_one::<&(core::net::ip_addr::IpAddr, u32, u16)>
         1    0.08%  <alloc::vec::Vec<usize>>::push_mut
         1    0.08%  epoll_pwait2
         1    0.08%  <[u8] as core::cmp::PartialEq>::eq
         1    0.08%  <tokio::util::linked_list::LinkedList<tokio::sync::notify::Waiter, tokio::sync::notify::Waiter>>::push_front
         1    0.08%  core::ptr::drop_glue::<tokio::runtime::io::scheduled_io::Readiness>
         1    0.08%  tokio::runtime::context::thread_rng_n
         1    0.08%  <core::time::Duration>::new
         1    0.08%  <alloc::sync::Arc<core::sync::atomic::Atomic<usize>> as core::ops::drop::Drop>::drop
         1    0.08%  core::sync::atomic::atomic_sub::<usize, usize>
         1    0.08%  <std::sys::time::unix::Instant>::now
         1    0.08%  <core::option::Option<tokio::runtime::time::handle::Handle>>::as_ref
         1    0.08%  <tokio::sync::notify::Notified>::poll_notified
         1    0.08%  <alloc::vec::Vec<libc::unix::linux_like::epoll_event>>::set_len
         1    0.08%  <alloc::sync::Arc<tokio::runtime::scheduler::multi_thread::handle::Handle> as tokio::runtime::task::Schedule>::schedule
         1    0.08%  syscall
         1    0.08%  core::sync::atomic::atomic_add::<u64, u64>
