# format=hec shape=real duration=15s runs=3 transport=http port=5985
# server restarted between every run; hec_events_received/n/a/parquet_s3_dropped are per-run values (fresh process), not deltas.
run	format	shape	offered	achieved	received	kernel_drops	writer_drops	buffer_drops	written	kernel_loss_pct	total_loss_pct	gen_cores	srv_cores	verdict
median	hec	real	-	-	-	-	-	-	-	-	65.6478	-	-	-
min	hec	real	-	-	-	-	-	-	-	-	64.9083	-	-	-
max	hec	real	-	-	-	-	-	-	-	-	65.8537	-	-	-
# kernel-loss is not applicable for format=hec (transport=http cannot lose datagrams in a socket buffer): kernel_loss_pct is n/a on every row above (not reported as zero) and the RcvbufErrors reconciliation is skipped. total_loss_pct above already reflects only the drop sites that apply to this format (writer/buffer, kernel contributing 0).
# NOTE: parquet_s3_dropped{source="hec"} was non-zero on at least one run at rate=320000 -- a second, distinct drop site downstream of the kernel socket. Report it separately; do not fold it into the kernel loss figure above.
# rate=320000 median_loss=65.6478% median_achieved=319773.0000
# --- rate=240000 ---
1	hec	real	3599600	239811.5000	3599600	n/a	1466929	0	2100000	n/a	40.7526	-0.00	3.80	FAIL-LOSS
2	hec	real	3599500	239837.3000	3599500	n/a	1392869	0	2200000	n/a	38.6962	-0.00	3.73	FAIL-LOSS
3	hec	real	3599300	239805.5000	3599300	n/a	1332803	0	2200000	n/a	37.0295	-0.00	3.69	FAIL-LOSS
# --- summary: format=hec shape=real rate=240000 runs=3 ---
median	hec	real	-	-	-	-	-	-	-	-	38.6962	-	-	-
min	hec	real	-	-	-	-	-	-	-	-	37.0295	-	-	-
max	hec	real	-	-	-	-	-	-	-	-	40.7526	-	-	-
# kernel-loss is not applicable for format=hec (transport=http cannot lose datagrams in a socket buffer): kernel_loss_pct is n/a on every row above (not reported as zero) and the RcvbufErrors reconciliation is skipped. total_loss_pct above already reflects only the drop sites that apply to this format (writer/buffer, kernel contributing 0).
# NOTE: parquet_s3_dropped{source="hec"} was non-zero on at least one run at rate=240000 -- a second, distinct drop site downstream of the kernel socket. Report it separately; do not fold it into the kernel loss figure above.
# rate=240000 median_loss=38.6962% median_achieved=239811.5000
# --- rate=200000 ---
1	hec	real	2999600	199881.9000	2999600	n/a	550101	0	2400000	n/a	18.3391	-0.00	3.32	FAIL-LOSS
2	hec	real	2999700	199885.3000	2999700	n/a	592752	0	2400000	n/a	19.7604	-0.00	3.34	FAIL-LOSS
3	hec	real	2999900	199887.7000	2999900	n/a	492863	0	2500000	n/a	16.4293	-0.00	3.34	FAIL-LOSS
# --- summary: format=hec shape=real rate=200000 runs=3 ---
median	hec	real	-	-	-	-	-	-	-	-	18.3391	-	-	-
min	hec	real	-	-	-	-	-	-	-	-	16.4293	-	-	-
max	hec	real	-	-	-	-	-	-	-	-	19.7604	-	-	-
# kernel-loss is not applicable for format=hec (transport=http cannot lose datagrams in a socket buffer): kernel_loss_pct is n/a on every row above (not reported as zero) and the RcvbufErrors reconciliation is skipped. total_loss_pct above already reflects only the drop sites that apply to this format (writer/buffer, kernel contributing 0).
# NOTE: parquet_s3_dropped{source="hec"} was non-zero on at least one run at rate=200000 -- a second, distinct drop site downstream of the kernel socket. Report it separately; do not fold it into the kernel loss figure above.
# rate=200000 median_loss=18.3391% median_achieved=199885.3000
# --- rate=180000 ---
1	hec	real	2699600	179928.5000	2699600	n/a	137739	0	2500000	n/a	5.1022	-0.00	2.98	FAIL-LOSS
2	hec	real	2699600	179899.5000	2699600	n/a	501144	0	2100000	n/a	18.5636	-0.00	3.06	FAIL-LOSS
3	hec	real	2699600	179887.8000	2699600	n/a	0	0	2600000	n/a	0.0000	0.00	2.86	PASS
# --- summary: format=hec shape=real rate=180000 runs=3 ---
median	hec	real	-	-	-	-	-	-	-	-	5.1022	-	-	-
min	hec	real	-	-	-	-	-	-	-	-	0.0000	-	-	-
max	hec	real	-	-	-	-	-	-	-	-	18.5636	-	-	-
# kernel-loss is not applicable for format=hec (transport=http cannot lose datagrams in a socket buffer): kernel_loss_pct is n/a on every row above (not reported as zero) and the RcvbufErrors reconciliation is skipped. total_loss_pct above already reflects only the drop sites that apply to this format (writer/buffer, kernel contributing 0).
# NOTE: parquet_s3_dropped{source="hec"} was non-zero on at least one run at rate=180000 -- a second, distinct drop site downstream of the kernel socket. Report it separately; do not fold it into the kernel loss figure above.
# rate=180000 median_loss=5.1022% median_achieved=179899.5000
# --- rate=170000 ---
1	hec	real	2549900	169932.3000	2549900	n/a	0	0	2500000	n/a	0.0000	0.00	2.79	PASS
2	hec	real	2549900	169939.9000	2549900	n/a	0	0	2500000	n/a	0.0000	-0.00	2.90	PASS
3	hec	real	2549800	169929.3000	2549800	n/a	41081	0	2500000	n/a	1.6111	-0.00	2.99	FAIL-LOSS
# --- summary: format=hec shape=real rate=170000 runs=3 ---
median	hec	real	-	-	-	-	-	-	-	-	0.0000	-	-	-
min	hec	real	-	-	-	-	-	-	-	-	0.0000	-	-	-
max	hec	real	-	-	-	-	-	-	-	-	1.6111	-	-	-
# kernel-loss is not applicable for format=hec (transport=http cannot lose datagrams in a socket buffer): kernel_loss_pct is n/a on every row above (not reported as zero) and the RcvbufErrors reconciliation is skipped. total_loss_pct above already reflects only the drop sites that apply to this format (writer/buffer, kernel contributing 0).
# NOTE: parquet_s3_dropped{source="hec"} was non-zero on at least one run at rate=170000 -- a second, distinct drop site downstream of the kernel socket. Report it separately; do not fold it into the kernel loss figure above.
# rate=170000 median_loss=0.0000% median_achieved=169932.3000
# --- rate=175000 ---
1	hec	real	2624500	174877.0000	2624500	n/a	105677	0	2500000	n/a	4.0266	-0.00	3.05	FAIL-LOSS
2	hec	real	2624600	174918.4000	2624600	n/a	44812	0	2500000	n/a	1.7074	-0.00	3.03	FAIL-LOSS
3	hec	real	2624800	174925.2000	2624800	n/a	46488	0	2500000	n/a	1.7711	-0.00	2.95	FAIL-LOSS
# --- summary: format=hec shape=real rate=175000 runs=3 ---
median	hec	real	-	-	-	-	-	-	-	-	1.7711	-	-	-
min	hec	real	-	-	-	-	-	-	-	-	1.7074	-	-	-
max	hec	real	-	-	-	-	-	-	-	-	4.0266	-	-	-
# kernel-loss is not applicable for format=hec (transport=http cannot lose datagrams in a socket buffer): kernel_loss_pct is n/a on every row above (not reported as zero) and the RcvbufErrors reconciliation is skipped. total_loss_pct above already reflects only the drop sites that apply to this format (writer/buffer, kernel contributing 0).
# NOTE: parquet_s3_dropped{source="hec"} was non-zero on at least one run at rate=175000 -- a second, distinct drop site downstream of the kernel socket. Report it separately; do not fold it into the kernel loss figure above.
# rate=175000 median_loss=1.7711% median_achieved=174918.4000
# --- rate=172500 ---
1	hec	real	2587000	172394.9000	2587000	n/a	0	0	2500000	n/a	0.0000	-0.00	2.89	PASS
2	hec	real	2587200	172415.4000	2587200	n/a	0	0	2500000	n/a	0.0000	-0.00	2.91	PASS
