# format=generic shape=real duration=15s runs=3 transport=http port=5985
# server restarted between every run; hec_events_received/n/a/parquet_s3_dropped are per-run values (fresh process), not deltas.
run	format	shape	offered	achieved	received	kernel_drops	writer_drops	buffer_drops	written	kernel_loss_pct	total_loss_pct	gen_cores	srv_cores	verdict
median	generic	real	-	-	-	-	-	-	-	-	58.1227	-	-	-
min	generic	real	-	-	-	-	-	-	-	-	57.7631	-	-	-
max	generic	real	-	-	-	-	-	-	-	-	60.3230	-	-	-
# kernel-loss is not applicable for format=generic (transport=http cannot lose datagrams in a socket buffer): kernel_loss_pct is n/a on every row above (not reported as zero) and the socket-drop reconciliation is skipped. total_loss_pct above already reflects only the drop sites that apply to this format (writer/buffer, kernel contributing 0).
# NOTE: parquet_s3_dropped{source="hec"} was non-zero on at least one run at rate=320000 -- a second, distinct drop site downstream of the kernel socket. Report it separately; do not fold it into the kernel loss figure above.
# rate=320000 median_loss=58.1227% median_achieved=319788.5000
# --- rate=240000 ---
1	generic	real	3599600	239883.1000	3599600	n/a	929129	0	2600000	n/a	25.8120	-0.00	2.73	FAIL-LOSS
2	generic	real	3599600	239843.3000	3599600	n/a	620849	0	2900000	n/a	17.2477	-0.00	2.64	FAIL-LOSS
3	generic	real	3599600	239858.4000	3599600	n/a	787770	0	2800000	n/a	21.8849	0.00	2.72	FAIL-LOSS
# --- summary: format=generic shape=real rate=240000 runs=3 ---
median	generic	real	-	-	-	-	-	-	-	-	21.8849	-	-	-
min	generic	real	-	-	-	-	-	-	-	-	17.2477	-	-	-
max	generic	real	-	-	-	-	-	-	-	-	25.8120	-	-	-
# kernel-loss is not applicable for format=generic (transport=http cannot lose datagrams in a socket buffer): kernel_loss_pct is n/a on every row above (not reported as zero) and the socket-drop reconciliation is skipped. total_loss_pct above already reflects only the drop sites that apply to this format (writer/buffer, kernel contributing 0).
# NOTE: parquet_s3_dropped{source="hec"} was non-zero on at least one run at rate=240000 -- a second, distinct drop site downstream of the kernel socket. Report it separately; do not fold it into the kernel loss figure above.
# rate=240000 median_loss=21.8849% median_achieved=239858.4000
# --- rate=200000 ---
1	generic	real	2999500	199890.6000	2999500	n/a	136899	0	2800000	n/a	4.5641	-0.00	2.37	FAIL-LOSS
2	generic	real	2999800	199903.4000	2999800	n/a	254738	0	2700000	n/a	8.4918	-0.00	2.46	FAIL-LOSS
3	generic	real	2999800	199915.5000	2999800	n/a	313036	0	2600000	n/a	10.4352	-0.00	2.46	FAIL-LOSS
# --- summary: format=generic shape=real rate=200000 runs=3 ---
median	generic	real	-	-	-	-	-	-	-	-	8.4918	-	-	-
min	generic	real	-	-	-	-	-	-	-	-	4.5641	-	-	-
max	generic	real	-	-	-	-	-	-	-	-	10.4352	-	-	-
# kernel-loss is not applicable for format=generic (transport=http cannot lose datagrams in a socket buffer): kernel_loss_pct is n/a on every row above (not reported as zero) and the socket-drop reconciliation is skipped. total_loss_pct above already reflects only the drop sites that apply to this format (writer/buffer, kernel contributing 0).
# NOTE: parquet_s3_dropped{source="hec"} was non-zero on at least one run at rate=200000 -- a second, distinct drop site downstream of the kernel socket. Report it separately; do not fold it into the kernel loss figure above.
# rate=200000 median_loss=8.4918% median_achieved=199903.4000
# --- rate=180000 ---
1	generic	real	2699600	179926.3000	2699600	n/a	0	0	2600000	n/a	0.0000	-0.00	2.26	PASS
2	generic	real	2699600	179942.8000	2699600	n/a	0	0	2600000	n/a	0.0000	-0.00	2.24	PASS
3	generic	real	2699600	179881.9000	2699600	n/a	414999	0	2200000	n/a	15.3726	-0.00	2.31	FAIL-LOSS
# --- summary: format=generic shape=real rate=180000 runs=3 ---
median	generic	real	-	-	-	-	-	-	-	-	0.0000	-	-	-
min	generic	real	-	-	-	-	-	-	-	-	0.0000	-	-	-
max	generic	real	-	-	-	-	-	-	-	-	15.3726	-	-	-
# kernel-loss is not applicable for format=generic (transport=http cannot lose datagrams in a socket buffer): kernel_loss_pct is n/a on every row above (not reported as zero) and the socket-drop reconciliation is skipped. total_loss_pct above already reflects only the drop sites that apply to this format (writer/buffer, kernel contributing 0).
# NOTE: parquet_s3_dropped{source="hec"} was non-zero on at least one run at rate=180000 -- a second, distinct drop site downstream of the kernel socket. Report it separately; do not fold it into the kernel loss figure above.
# rate=180000 median_loss=0.0000% median_achieved=179926.3000
# --- rate=190000 ---
1	generic	real	2849700	189886.2000	2849700	n/a	208334	0	2600000	n/a	7.3107	-0.00	2.31	FAIL-LOSS
2	generic	real	2849900	189926.9000	2849900	n/a	67749	0	2700000	n/a	2.3772	-0.00	2.36	FAIL-LOSS
3	generic	real	2849700	189844.0000	2849700	n/a	48690	0	2800000	n/a	1.7086	-0.00	2.30	FAIL-LOSS
# --- summary: format=generic shape=real rate=190000 runs=3 ---
median	generic	real	-	-	-	-	-	-	-	-	2.3772	-	-	-
min	generic	real	-	-	-	-	-	-	-	-	1.7086	-	-	-
max	generic	real	-	-	-	-	-	-	-	-	7.3107	-	-	-
# kernel-loss is not applicable for format=generic (transport=http cannot lose datagrams in a socket buffer): kernel_loss_pct is n/a on every row above (not reported as zero) and the socket-drop reconciliation is skipped. total_loss_pct above already reflects only the drop sites that apply to this format (writer/buffer, kernel contributing 0).
# NOTE: parquet_s3_dropped{source="hec"} was non-zero on at least one run at rate=190000 -- a second, distinct drop site downstream of the kernel socket. Report it separately; do not fold it into the kernel loss figure above.
# rate=190000 median_loss=2.3772% median_achieved=189886.2000
# --- rate=185000 ---
1	generic	real	2774800	184916.2000	2774800	n/a	0	0	2700000	n/a	0.0000	-0.00	2.22	PASS
2	generic	real	2774800	184942.0000	2774800	n/a	35945	0	2700000	n/a	1.2954	-0.00	2.28	FAIL-LOSS
3	generic	real	2774800	184896.9000	2774800	n/a	58800	0	2700000	n/a	2.1191	-0.00	2.27	FAIL-LOSS
# --- summary: format=generic shape=real rate=185000 runs=3 ---
median	generic	real	-	-	-	-	-	-	-	-	1.2954	-	-	-
min	generic	real	-	-	-	-	-	-	-	-	0.0000	-	-	-
max	generic	real	-	-	-	-	-	-	-	-	2.1191	-	-	-
# kernel-loss is not applicable for format=generic (transport=http cannot lose datagrams in a socket buffer): kernel_loss_pct is n/a on every row above (not reported as zero) and the socket-drop reconciliation is skipped. total_loss_pct above already reflects only the drop sites that apply to this format (writer/buffer, kernel contributing 0).
# NOTE: parquet_s3_dropped{source="hec"} was non-zero on at least one run at rate=185000 -- a second, distinct drop site downstream of the kernel socket. Report it separately; do not fold it into the kernel loss figure above.
# rate=185000 median_loss=1.2954% median_achieved=184916.2000
# --- rate=182500 ---
1	generic	real	2737200	182407.7000	2737200	n/a	0	0	2700000	n/a	0.0000	-0.00	2.25	PASS
2	generic	real	2737200	182413.6000	2737200	n/a	0	0	2700000	n/a	0.0000	-0.00	2.27	PASS
3	generic	real	2737200	182408.1000	2737200	n/a	0	0	2700000	n/a	0.0000	-0.00	2.26	PASS
# --- summary: format=generic shape=real rate=182500 runs=3 ---
median	generic	real	-	-	-	-	-	-	-	-	0.0000	-	-	-
min	generic	real	-	-	-	-	-	-	-	-	0.0000	-	-	-
max	generic	real	-	-	-	-	-	-	-	-	0.0000	-	-	-
# kernel-loss is not applicable for format=generic (transport=http cannot lose datagrams in a socket buffer): kernel_loss_pct is n/a on every row above (not reported as zero) and the socket-drop reconciliation is skipped. total_loss_pct above already reflects only the drop sites that apply to this format (writer/buffer, kernel contributing 0).
# rate=182500 median_loss=0.0000% median_achieved=182408.1000
# --- rate=183750 ---
1	generic	real	2756000	183657.3000	2756000	n/a	0	0	2700000	n/a	0.0000	-0.00	2.31	PASS
2	generic	real	2756000	183684.6000	2756000	n/a	0	0	2700000	n/a	0.0000	-0.00	2.25	PASS
3	generic	real	2756000	183668.8000	2756000	n/a	0	0	2700000	n/a	0.0000	-0.00	2.29	PASS
# --- summary: format=generic shape=real rate=183750 runs=3 ---
median	generic	real	-	-	-	-	-	-	-	-	0.0000	-	-	-
min	generic	real	-	-	-	-	-	-	-	-	0.0000	-	-	-
max	generic	real	-	-	-	-	-	-	-	-	0.0000	-	-	-
# kernel-loss is not applicable for format=generic (transport=http cannot lose datagrams in a socket buffer): kernel_loss_pct is n/a on every row above (not reported as zero) and the socket-drop reconciliation is skipped. total_loss_pct above already reflects only the drop sites that apply to this format (writer/buffer, kernel contributing 0).
# rate=183750 median_loss=0.0000% median_achieved=183668.8000
CEILING 183750
artifacts (server logs): /tmp/tmp.jklGa45EeI (removed on exit; rerun with TMP_ROOT preserved manually if needed for debugging)
